"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews"
90,120,1,0,841921,4.5,46,17693,4,40
90,3432,1,0,841921,4.5,46,415822,4,33
90,4536,1,0,841921,4.5,46,157066,4,50
90,6488,1,0,841921,4.5,46,172852,4.5,33
90,29576,1,0,841921,4.5,46,1262088,4.5,1185
90,100302,1,0,841921,4.5,46,1120348,4.5,46
90,110848,1,0,841921,4.5,46,24791,4,49
90,119579,1,0,841921,4.5,46,450364,4,44
90,151850,1,0,841921,4.5,46,268821,4.5,33
90,172054,1,0,841921,4.5,46,20570,3.5,37
90,178684,1,0,841921,4.5,46,1165,4.5,539
90,197257,1,0,841921,4.5,46,436845,4,45
90,257779,1,0,841921,4.5,46,558338,4.5,36
90,271849,1,0,841921,4.5,46,134796,4,59
90,346425,1,2,841921,4.5,46,3019,3.5,48
90,358230,1,0,841921,4.5,46,282292,4,75
120,634,1,1,17693,4,40,213692,4,55
120,1663,1,1,17693,4,40,171366,4.5,48
120,40830,1,1,17693,4,40,239942,4.5,286
120,62079,1,4,17693,4,40,61697,4,89
120,62274,1,1,17693,4,40,353,3.5,158
120,64537,1,1,17693,4,40,219543,4,48
120,138234,1,1,17693,4,40,29811,5,54
120,160430,1,0,17693,4,40,145601,4.5,234
120,317301,1,1,17693,4,40,61843,4.5,74
120,320405,1,1,17693,4,40,772,4.5,84
120,338240,1,2,17693,4,40,36404,4.5,35
120,341201,1,1,17693,4,40,239632,4.5,98
185,668,1,1,14050,3.5,45,152763,4,236
185,1552,1,1,14050,3.5,45,481229,4.5,35
185,2930,1,0,14050,3.5,45,34796,4.5,104
193,36000,1,1,10350,3,261,3211,4.5,32
193,109645,1,1,10350,3,261,339935,4,132
198,2339,1,0,933676,4.5,39,41819,4.5,145
257,1733,1,1,38960,4.5,167,312723,4.5,40
257,2749,1,2,38960,4.5,167,28905,4,344
257,6626,1,1,38960,4.5,167,224018,5,208
296,163506,1,0,19,3.5,3049,422559,3,170
407,2369,1,1,219090,4.5,58,291455,3.5,62
448,450,1,2,607,4.5,141,52294,4.5,179
472,501,1,1,149198,4.5,47,348971,4.5,55
575,579,1,0,178278,4.5,56,207096,4.5,32
575,8899,1,3,178278,4.5,56,7590,4.5,219
575,14906,1,3,178278,4.5,56,407042,4,62
575,159233,1,1,178278,4.5,56,464326,4.5,36
575,337884,1,3,178278,4.5,56,26346,4.5,974
577,50812,1,2,758,4.5,316,101145,5,32
579,50812,1,0,207096,4.5,32,101145,5,32
582,976,1,2,38164,3.5,178,48515,4,108
582,1395,1,2,38164,3.5,178,177689,4.5,71
582,5632,1,1,38164,3.5,178,15701,4.5,56
582,6508,1,1,38164,3.5,178,99868,4.5,50
582,7708,1,1,38164,3.5,178,121231,4.5,66
582,8947,1,2,38164,3.5,178,134952,5,46
582,12310,1,2,38164,3.5,178,533494,4.5,82
582,15105,1,3,38164,3.5,178,218555,4.5,32
582,19604,1,1,38164,3.5,178,106526,4,33
582,26452,1,1,38164,3.5,178,136970,4.5,69
582,30617,1,3,38164,3.5,178,541232,4,39
582,38194,1,2,38164,3.5,178,176305,4.5,180
582,40787,1,2,38164,3.5,178,823515,4.5,219
582,52507,1,2,38164,3.5,178,419472,3.5,37
582,62229,1,1,38164,3.5,178,146240,3,108
582,62747,1,1,38164,3.5,178,95456,3.5,56
582,69585,1,2,38164,3.5,178,42110,3,57
582,71960,1,1,38164,3.5,178,127364,3,50
582,79741,1,1,38164,3.5,178,574911,3.5,36
582,84744,1,3,38164,3.5,178,80276,4.5,35
582,88031,1,2,38164,3.5,178,10076,3.5,485
582,98501,1,1,38164,3.5,178,717146,4,211
582,99693,1,2,38164,3.5,178,95220,4.5,60
582,130421,1,1,38164,3.5,178,80710,4.5,110
582,136509,1,2,38164,3.5,178,11140,4.5,292
582,139830,1,1,38164,3.5,178,511582,4.5,93
582,159687,1,2,38164,3.5,178,19984,3.5,38
582,167750,1,2,38164,3.5,178,127707,4.5,52
