"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews","from_degree","from_closeness","from_betweenness","from_transitivity","from_eigenvec_centrality","pagerank.x","to_degree","to_closeness","to_betweenness","to_transitivity","to_eigenvec_centrality","pagerank.y","same_community"
90,2346,1,2,841921,4.5,46,44760,3.5,35,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,0,NA,0,NA,2.65662900621852e-16,1.59003914677098e-06,0
90,11246,1,0,841921,4.5,46,144393,4,44,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,2,9.44385158042856e-07,7.14311429200014e-05,0,6.10741383705886e-10,7.4866552356961e-06,0
90,30614,1,0,841921,4.5,46,229964,4.5,106,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,3,0.2,6.00018000420009e-10,0.333333333333333,4.61758353976011e-16,1.33727232692724e-05,0
90,71480,1,0,841921,4.5,46,136547,3.5,37,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,1,0.04,0,NA,3.31791290510836e-17,4.81262503934888e-06,0
90,137719,1,0,841921,4.5,46,134324,4.5,88,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,2,0.00740740740740741,0,1,0,7.32474414659489e-06,0
90,147067,1,0,841921,4.5,46,220395,4.5,31,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,3,5.9135031888566e-07,1.42870286080008e-05,0.333333333333333,0,8.19183361227567e-06,0
90,213217,1,0,841921,4.5,46,32723,4.5,72,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,0,NA,0,NA,2.65662900621852e-16,1.59003914677098e-06,0
90,219575,1,0,841921,4.5,46,155616,4.5,159,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,2,1.0672575004189e-06,8.73591858267683e-06,0,5.19138228170054e-07,7.98652261849246e-06,0
90,250817,1,0,841921,4.5,46,758086,4.5,26,2,1.0236252712607e-06,0,1,7.48047804159973e-08,6.83375516947192e-06,2,9.52370975161213e-07,2.85736572040014e-05,0,5.30510174705638e-09,9.89969392118644e-06,0
101,101663,1,1,612868,4,76,1231,3.5,72,8,1.23155287733857e-06,0.000195232129277891,0.0714285714285714,5.47361617007947e-05,2.35881831428397e-05,2,1.08784571736898e-06,0,1,2.16130192453183e-06,6.25288815994274e-06,0
130,198,1,0,29460,3.5,375,933676,4.5,39,2,1.2651165615144e-06,0.0012176041507499,0,8.16258069937263e-05,6.73512589988853e-06,3,1.20827815529757e-06,0,1,3.21297657130139e-05,9.37497242510174e-06,1
148,20386,1,2,77008,4,42,876,4,433,3,1.32912443927563e-06,0.000105868383358358,0,0.000263995005759462,8.69543167294761e-06,1,1,0,NA,2.28439749704504e-16,1.06002609784273e-05,0
185,6678,1,1,14050,3.5,45,99555,3,116,2,1.03166276182311e-06,0,1,1.14722736661774e-07,7.58871410481261e-06,3,9.37722122927869e-07,0,1,3.10461820435131e-09,1.00045585523949e-05,0
185,9242,1,3,14050,3.5,45,72573,3.5,41,2,1.03166276182311e-06,0,1,1.14722736661774e-07,7.58871410481261e-06,3,9.9900399301896e-07,0,1,1.37127097053331e-08,9.53603637039797e-06,0
185,101538,1,1,14050,3.5,45,19143,4,39,2,1.03166276182311e-06,0,1,1.14722736661774e-07,7.58871410481261e-06,3,0.0185185185185185,3.00009000210004e-10,0.333333333333333,1.98278296323869e-16,1.08450737184768e-05,0
